Row Labels,Sum of Max_likes
ArianaGrandeVevo,2195120
Bad Bunny,1497621
Bruno Mars,1717177
Cardi B,1377137
ChildishGambinoVEVO,3037318
David Dobrik,1967910
DemiLovatoVEVO,1176798
DrakeVEVO,2469057
Dua Lipa,1210593
Ed Sheeran,1721384
ibighit,5053338
Lil pump,1696151
Logan Paul Vlogs,1919980
LuisFonsiVEVO,1904853
Maroon5VEVO,2178332
Marvel Entertainment,2606665
SelenaGomezVEVO,1202480
Sony Pictures Entertainment,1243479
TaylorSwiftVEVO,1804377
YouTube Spotlight,3014479
Grand Total,40994249
